epoch,acc,loss,lr,val_acc,val_loss
0,0.2628420064377682,3.037215364081665,0.0005,0.5483440170940171,1.7562413633379161
1,0.5491203330567278,1.7311765166530357,0.0005,0.5974986551749315,1.52479512131041
2,0.636751275836797,1.3616645427727423,0.0005,0.6842388381010233,1.1964930724943754
3,0.6952390545419298,1.151697234636092,0.0005,0.6865250134480904,1.1893813488879725
4,0.7287805533012075,1.0122146292652394,0.0005,0.672404518526302,1.2353561220789802
5,0.7621206016813336,0.8879515995045615,0.00025,0.7245831091984938,1.0785555509933547
6,0.7788745635240397,0.8230595987329168,0.00025,0.7331898870360409,1.052583816745321
7,0.7948227236260018,0.7717045986809271,0.00025,0.7456966110491637,0.9848914530535037
8,0.8044251947194185,0.7319089858051017,0.00025,0.7463690155997849,0.9986109667532286
9,0.815874294907439,0.6892018559604699,0.00025,0.7396449704142012,1.0237610243288915
10,0.8281963470159537,0.6452557927909603,0.0001275,0.7522861753630984,0.984762677202435
11,0.8343405855332784,0.6255945322048014,0.0001275,0.7571274878967187,0.970941639318461
12,0.8368587160891754,0.6126865736585838,0.0001275,0.7458310919849381,1.0127900232224776
13,0.8446145581520279,0.5898008245055214,0.0001275,0.7528240989779451,1.0022576384290436
14,0.8486771420737027,0.571928503514617,0.0001275,0.760355029553736,0.9664453580983549
15,0.8538141283910825,0.5561169310183478,6.375e-05,0.7592791823240427,0.966677140779172
16,0.8579774375663725,0.539964121874705,6.375e-05,0.759548144131466,0.9721591808002056
17,0.8571380606877237,0.5403134437168345,6.375e-05,0.7610274340722945,0.9626392933423318
18,0.8629801235562718,0.5247315778836044,6.375e-05,0.7676169983541664,0.9465542915625365
19,0.8659683051462811,0.5138584834863958,6.375e-05,0.7619688003982762,0.9648568326904929
20,0.8693593876066625,0.5070329624303976,3.1875e-05,0.7634480903391045,0.9629363594291157
21,0.8684528606123032,0.5030781222052578,3.1875e-05,0.7655997847984913,0.9551000273182804
22,0.8701987644212719,0.5018046020725034,3.1875e-05,0.7681549219690131,0.9564502539334597
23,0.8706016653396735,0.4993116556557474,3.1875e-05,0.7664066702207614,0.9597049178841167
24,0.8764773032500671,0.4877105075090507,3.1875e-05,0.7666756320281847,0.959411397424034
25,0.8733548213645972,0.48406811526408927,1e-05,0.7650618611836446,0.9602446883772573
26,0.8734219715443472,0.4864828332422115,1e-05,0.765734265702203,0.960915247364157
27,0.8747985495407992,0.4853184765828671,1e-05,0.7655997847984913,0.9621218551930206
28,0.8783239323286609,0.47548782516480004,1e-05,0.7672135556430314,0.9583843493730936
29,0.8745970991296279,0.4789884085620631,1e-05,0.7662721893170497,0.9561234795963848
30,0.8772831050388409,0.4798417088007562,1e-05,0.7655997847984913,0.9614853414558094
31,0.8767459038409885,0.4757548265085085,1e-05,0.7668101129318964,0.9569603302197921
