epoch,acc,loss,val_acc,val_loss
0,0.39109442060085836,2.3290969691051435,0.5081463675213675,1.8772823963409815
1,0.5240733279773313,1.7536696653163724,0.5570199031737493,1.6877886110124183
2,0.5669151222292788,1.5990277107383755,0.5825712748789672,1.604314098311984
3,0.5885038946925585,1.5098346703288825,0.5866057019903174,1.6017002342464206
4,0.6071716357936086,1.4377002685645752,0.5972296933835395,1.5814875777913011
5,0.6232540961590115,1.3756755810414083,0.5918504572430883,1.6040341825880242
6,0.6310099382378739,1.3381797922832686,0.5898332436793975,1.617203273973265
7,0.6414853612517849,1.2995321056133888,0.6024744486282948,1.5682517893536236
8,0.6535052377115229,1.2582825274996434,0.6047606239913932,1.5748354747386437
9,0.6561240934569958,1.2403499355503158,0.6030123722431415,1.6096642327731883
10,0.6676067687348912,1.2097537585109144,0.6093329747175901,1.5606433033237797
11,0.6698898737737321,1.1900455884449335,0.6043571812802582,1.5731802534326038
