epoch,acc,loss,lr,val_acc,val_loss
0,0.510461373390558,1.936533022975717,1e-04,0.6422275641025641,1.496035838738466
1,0.7124630674187483,1.0939654610408687,1e-04,0.6877353416135582,1.3438651002562771
2,0.7827692720923985,0.8218674255320375,1e-04,0.726869284593655,1.2435500235118937
3,0.8240666129625583,0.6680675281045131,1e-04,0.7251210327812777,1.3165345106027406
4,0.8566008595379008,0.5556557775504353,1e-04,0.6933835395694484,1.5353082189513767
5,0.912570507639107,0.36265408672570476,5e-05,0.7646584185366351,1.1017743326631395
6,0.9356365834164934,0.28237827365961315,5e-05,0.743006993006993,1.3859488084920315
7,0.9490666129305386,0.2394927290740783,5e-05,0.7575309305757909,1.266504252707208
8,0.9573932312651088,0.2112935325278411,5e-05,0.7621032813019878,1.2589194915062514
9,0.9650147730325007,0.18655268786704704,5e-05,0.7549757934052691,1.3712101635142897
10,0.9781762019876443,0.1437022578418495,1e-05,0.7898063474986552,1.1334143561852625
11,0.9866371206016653,0.11981167286242204,1e-05,0.7942442173211404,1.1004677483829008
12,0.9884501745903841,0.11204213941014009,1e-05,0.7954545454224827,1.1303973228075992
13,0.9905654042438894,0.10455967689029574,1e-05,0.7958579881336177,1.1006900266398019
14,0.9926470588235294,0.09839891184050327,1e-05,0.7898063474986552,1.123580948456184
15,0.9924120333064733,0.09618707522129519,5e-06,0.793168370091447,1.1452076145883143
16,0.9939229116304056,0.09132258354889075,5e-06,0.793571812802582,1.1655027001310638
17,0.9943258125167875,0.08839371545866168,5e-06,0.7973372781065089,1.1452576678372506
18,0.995030889067956,0.08590905803595696,5e-06,0.796126949941041,1.1434221851883426
19,0.9956352403975288,0.08318313691297782,5e-06,0.7947821409359871,1.1559561137039858
