epoch,acc,loss,val_acc,val_loss
0,0.4993293991416309,2.0650378887745444,0.5089476495726496,2.1235844212719517
1,0.5812181036798281,1.655364729402016,0.5672404518398051,1.8275260563625193
2,0.6184528606042983,1.4854304380004457,0.5883539537546005,1.7058886687815862
3,0.6375235025677155,1.4061718029966925,0.6018020440937051,1.6358680038954891
4,0.6516250335910837,1.349307743958046,0.61323292094126,1.587779917852926
5,0.6611603545367701,1.309299124398284,0.6213017751639603,1.550858320889773
6,0.6698562986678472,1.2753173266563753,0.6237224313987078,1.5252858964007923
7,0.6751275852966975,1.2509858054625485,0.6277568585260893,1.5010870954822377
8,0.6820776255867861,1.225362840052289,0.6323292092522862,1.4873413485567566
9,0.6891955412462005,1.200801323153721,0.634480903711673,1.4766758960572028
